,Artist,Biography,Listeners,Playcount,Similar
0,Ildikó Keresztes," <a href=""https://www.last.fm/music/Ildik%C3%B3+Keresztes"">Read more on Last.fm</a>",311,4258,"('Veca Janicsák', 'Pál Dénes', 'usnk', 'Viktor Kiraly', 'Gájer Bálint')"
1,Amalia,"Amalia is a mononym of, at least, three artists: 1) Canada's jazz / soul singer, Amalia Townsend. 2) A minority tagging of Amália Rodrigues

1) Canada's jazz / soul singer, Amalia Townsend, currently living in Sweden. She pays homage to the strong women of soul who catalysed her ingenuity, such as Chaka Khan, Sheila E., Eartha Kitt & Betty Davis. Most of her music is produced by Opolopo.

Besides winning the prestigious CMW award & being nominated <a href=""https://www.last.fm/music/Amalia"">Read more on Last.fm</a>",8073,59523,"('Opolopo', 'SoulParlor', 'Vindahl', 'Opolopo & Amalia', 'Colonel Red')"
2,Elsie Bayron," <a href=""https://www.last.fm/music/Elsie+Bayron"">Read more on Last.fm</a>",285,1028,"('Orquesta Gran Casino', 'Rafael Medina', 'Los Xey', 'Mari Merche', 'Orquesta Casablanca')"
3,One Ring Zero,"One Ring Zero is Michael Hearst and Joshua Camp. The Brooklyn-based duo has released five CDs, including their critically acclaimed album, As Smart As We Are, a book-cum-CD, featuring songs with lyrics contributed by such authors as Jonathan Lethem, Margaret Atwood, Paul Auster, Dave Eggers, A.M. Homes, Rick Moody, Neil Gaiman, and Denis Johnson. One Ring Zero has performed at music venues and cultural institutions including the Whitney Museum of Art <a href=""https://www.last.fm/music/One+Ring+Zero"">Read more on Last.fm</a>",4332,44075,"('Die Hard Cafe', 'The Gertrudes', 'Dream Brother', 'Big Hurry', 'Boy Things')"
4,Gal George Gjurin," <a href=""https://www.last.fm/music/Gal+George+Gjurin"">Read more on Last.fm</a>",46,425,"('Severa Gjurin', 'Kokosy', 'MRFY', 'Jan Plestenjak', 'Hajdi')"
5,Honey Family,"A defunct rap group of 7 members in Korea who mix electrionic sounds, sound bites and old school beats. The members are: Digiry, Park Myung Hou, Garie, Gill, Jura, Young Poon, and Su-Jung.
In 2000, Miryo was added into the group after 2 female rappers left. <a href=""https://www.last.fm/music/Honey+Family"">Read more on Last.fm</a>",1864,22194,"('People Crew', 'CB Mass', 'Novasonic', 'MC Sniper', 'Lee Hyun Do')"
6,Blerta,"Blerta (""Bruno Lawrence's Electric Revelation and Traveling Apparition""), was a New Zealand musical and theatrical co-operative active in the 1970s.

It was the idea of Bruno Lawrence to get together a group of musicians, actors and friends who would travel around New Zealand on a tour to get away from the pressure of the music and movie scene. He organised the traveling group and in October 1971 they departed on their tour. The group travelled around New Zealand in a very distinctive red bus. <a href=""https://www.last.fm/music/Blerta"">Read more on Last.fm</a>",1869,12155,"('Pixie Williams & The Ruru Karaitiana Quartet', 'DD Smash', 'Shona Laing', 'The Crocodiles', 'Fourmyula')"
7,Al Hirt,"Alois Maxwell ""Al"" Hirt (November 7, 1922 – April 27, 1999) was an American trumpeter and bandleader. He is best remembered for his million-selling recordings of ""Java"" and the accompanying album Honey in the Horn (1963), and for the theme song to The Green Hornet. His nicknames included ""Jumbo"" and ""The Round Mound of Sound"". Colin Escott, an author of musician biographies, wrote that RCA Victor Records, for which Hirt had recorded most of his best-selling recordings and for which he had spent much of his professional recording career <a href=""https://www.last.fm/music/Al+Hirt"">Read more on Last.fm</a>",269527,1192770,"('Herb Alpert', 'Herb Alpert and the Tijuana Brass', 'Bert Kaempfert', 'Luis Bacalov', 'Henry Mancini')"
8,Lâm Vũ," <a href=""https://www.last.fm/music/L%C3%A2m+V%C5%A9"">Read more on Last.fm</a>",112,844,"('Ngô Kiến Huy, DTAP', 'Sean, Lửa', 'Nhạc Thiếu Nhi Thư Giãn Ngài Gâu Gâu, Giai Điệu Trẻ Thơ Loulou và Lou', 'Đen, Thành Đồng, Vũ.', 'Lý Hải')"
9,Antoni Muracki," <a href=""https://www.last.fm/music/Antoni+Muracki"">Read more on Last.fm</a>",3083,44889,"('Andrzej Ozga', 'Stefan Brzozowski', 'Elżbieta Wojnowska', 'Michał Łanuszka', 'Paweł Orkisz')"
10,Mario Bragadini," <a href=""https://www.last.fm/music/Mario+Bragadini"">Read more on Last.fm</a>",31,63,()
11,Afroditi Manou,"Αφροδίτη Μάνου <a href=""https://www.last.fm/music/+noredirect/Afroditi+Manou"">Read more on Last.fm</a>",1970,14782,()
12,SKAMP,"There are multiple bands called skamp. 

1) Two piece sister noise monster. Skamp started around the summer of 2010 in the heat of boredom and frustration of the lackluster music scene. Band members: Kaylee Lewis-vox, guitars, Jancee Lewis-drums, yells.

2) SKAMP are a perfect example of the quality music that is storming out of the new EU countries. Producer Viktoras Diawara aka Vee, singer / lyricist Erica Jennings &  rapper Vilius Alesius (Willux) teamed up to bring us finely crafted, thoughtful lyrics and catchy melodies. <a href=""https://www.last.fm/music/SKAMP"">Read more on Last.fm</a>",12018,160110,"('Saulės kliošas', 'Jurga', 'Pieno Lazeriai', 'Aleksandras Makejevas', 'Aktorių trio')"
13,Edoardo Vianello,"Edoardo Vianello (born 24 June 1938) is an Italian singer, composer and actor. He is considered one of the most popular Italian singers of the 1960s.

Born in Rome, Italy, Vianello started his career in 1956. His first successes came in 1961, with Il capello (Hair) and Pinne fucile ed occhiali (Fins, Spear, and Goggles), which both charted up to the 2nd position in the Italian Hit Parade.

Vianello had several successes in the 1960s, such as Guarda come dondolo (Watch as I Swing) <a href=""https://www.last.fm/music/Edoardo+Vianello"">Read more on Last.fm</a>",66807,358612,"('Little Tony', 'Tony Renis', 'Caterina Caselli', 'Rita Pavone', 'Tony Dallara')"
14,Krishnaraj," <a href=""https://www.last.fm/music/Krishnaraj"">Read more on Last.fm</a>",1168,5235,"('Bharadwaj', 'Saindhavi', 'Ghibran', 'Harini', 'Vidyasagar')"
15,Lecia & Lucienne," <a href=""https://www.last.fm/music/Lecia+&+Lucienne"">Read more on Last.fm</a>",2142,9912,"('To Jyder', 'Allan Mortensen', 'Ulla Pia', 'Jan & Rene', 'Bjørn Tidmand')"
16,P. Hux,"

Parthenon Huxley is a former member of ELO Part II and was born in Louisiana. He began writing and performing at the age of ten, entirely self taught. Parthenon, or ""Hux"" was signed by Columbia Records in 1988. Parthenon co-produced his debut, ""Sunny Nights"", with Grammy Award winning producer David Kahne. A classic pop album, ""Sunny Nights"" was hailed as "" a monumental debut"" by Rolling Stone magazine.

Two later CDs inspired the same sort of praise from critics and fans. <a href=""https://www.last.fm/music/P.+Hux"">Read more on Last.fm</a>",2289,18959,"('Michael Carpenter', 'Maple Mars', 'Doug Powell', 'Cliff Hillis', 'Starbelly')"
17,Margareta Clipa," <a href=""https://www.last.fm/music/Margareta+Clipa"">Read more on Last.fm</a>",645,2286,"('Laura Lavric', 'Maria Dragomiroiu', 'Benone Sinulescu', 'Irina Loghin', 'Liviu Vasilica')"
18,Ku-Ku Band,"„Ку-Ку бенд“ е българска музикална група. Създадена е през 1993 г. с първоначален състав от Слави Трифонов, Евгени Йотов и Илия Илиев-Професора.[1] Групата притежава някои от най-скъпите инструменти в страната и участва в много телевизионни предавания. <a href=""https://www.last.fm/music/Ku-Ku+Band"">Read more on Last.fm</a>",775,8154,"('Слави Трифонов', 'Boris Soltariyski', 'Yordan Yonchev - Gumzata', 'Cvetelina Grahic', 'Нина Николина')"
19,Adil El Miloudi," <a href=""https://www.last.fm/music/Adil+El+Miloudi"">Read more on Last.fm</a>",854,6336,"('Saïd Senhaji', 'Said Ould Al Houate', 'Cheb Onounou', 'Tahour', 'Nass El Ghiwane')"
20,Rocky Roberts,"Rocky Roberts (Miami, Florida 23 august 1941 - Roma, Italia 13 january 2005) was an american rnb singer who gained greater success in Italy than in the US. <a href=""https://www.last.fm/music/Rocky+Roberts"">Read more on Last.fm</a>",11387,43427,"('Equipe 84', 'Los Marcellos Ferial', 'Jerry Calà', 'Luciano Tajoli', 'Dúo Dinámico')"
21,Stratos Dionisiou,"This is an incorrect tag for Στράτος Διονυσίου.

----------

Dionysiou was born in Nigrita, Serres prefecture, to Asia Minor refugees Angelos and Stasa Dionysiou. At age 13, he lost his father. These early childhood experiences would have a deep impact on the style od Stratos' music, and were a great influence to him.At the age of 20 moved to Thessaloniki where he started his career.Later he moved to capital Athens and recorded his first song. <a href=""https://www.last.fm/music/+noredirect/Stratos+Dionisiou"">Read more on Last.fm</a>",5211,84929,()
22,Meri Lida," <a href=""https://www.last.fm/music/Meri+Lida"">Read more on Last.fm</a>",8384,55352,"('Manolis Hiotis', 'Sofia Vebo', 'Γρηγόρης Μπιθικώτσης', 'Imam Baildi', 'Mary Linda')"
23,Misato Watanabe,"渡辺美里 <a href=""https://www.last.fm/music/+noredirect/Misato+Watanabe"">Read more on Last.fm</a>",7902,63487,()
24,Lopamudra Mitra,"Lopamudra Mitra Bengali: লোপামুদ্রা মিত্র is a Kolkata-based prominent Rabindra Sangeet and modern Bengali singer-songwriter. She is married with Kolkata-based Bengali music director and songwriter Joy Sarkar since 2001.
Lopamudra was born and brought up in south Kolkata, India.
She won many awards for her unique dramatic style of singing, which is fashioned with the classical aid and tenor voice quality.

Gold Disc Award by HMV in Completion of 10th year of her music life. <a href=""https://www.last.fm/music/Lopamudra+Mitra"">Read more on Last.fm</a>",2270,20756,"('Jayati Chakraborty', 'Iman Chakraborty', 'Somlata Acharyya Chowdhury', 'Sahana Bajpaie', 'Kabir Suman')"
25,Hedi Habbouba," <a href=""https://www.last.fm/music/Hedi+Habbouba"">Read more on Last.fm</a>",597,3423,"('HEDI DONIA', 'Salah Farzit', 'Samir Loussif', 'Lotfi Bouchnak', 'Habib Chenkaoui')"
26,Durga Jasraj," <a href=""https://www.last.fm/music/Durga+Jasraj"">Read more on Last.fm</a>",162,931,"('Kapil Jangir', 'Kanhiya Mittal', 'Parmen', 'Tulchharam Bhangawa', 'Devendra Pathak')"
27,Seema Mishra," <a href=""https://www.last.fm/music/Seema+Mishra"">Read more on Last.fm</a>",2015,14600,"('Satish Dehra', 'Mame Khan', 'Mahendra Kapoor', 'Musafir', 'Habib Khan')"
28,Saša Lozar,"Saša Lozar (b. february 12 1980 in Laduč) is Croatian pop singer, best known as finalist of popular Story Supernova Music Talents which was aired on Nova TV in late 2003. He won audiences with his great vocal talent and good sense of humour. He was one of four contestants (Nera Stipičević, Natalie Dizdar and winner Rafael Dropulić) to compete for the grand prize in the last show. After the show, due to contractual obligations, he performed in Saša, Tin i Kedžo boy band. <a href=""https://www.last.fm/music/+noredirect/Sa%C5%A1a+Lozar"">Read more on Last.fm</a>",1190,11271,"('Natali Dizdar', 'Divas', 'Marija Husar', 'Gabi Novak', 'Lana Klingor')"
29,Ion Dolanescu,"Ion Dolănescu (n. 25 ianuarie 1944, Perşinari, Dâmboviţa, România, d. 19 martie 2009, Bucureşti, România)[1] a fost un cântăreţ român de muzică populară şi deputat în legislatura 2000-2004, ales în judeţul Ilfov pe listele partidului PRM.[2]

Ion Dolănescu s-a născut în satul Perşinari, judeţul Damboviţa.[1]

În 1961 a urmat-o pe Maria Tănase într-un turneu de două-trei săptămâni prin judeţul Dâmboviţa. A debutat în la 18 ani, la Casa de Cultură din Târgovişte. <a href=""https://www.last.fm/music/Ion+Dolanescu"">Read more on Last.fm</a>",1031,6764,"('Ionut Dolanescu', 'Ionel Tudorache', 'Viorica si Ionita din Clejani', 'Irina Loghin', 'Maria Dragomiroiu')"
30,Nino Xypolitas," <a href=""https://www.last.fm/music/Nino+Xypolitas"">Read more on Last.fm</a>",5151,65430,"('Dionisis Shinas', 'Melisses', 'Γιώργος Σαμπάνης', 'Nikos Oikonomopoulos', 'Petros Iakovidis')"
31,Ria Amelia," <a href=""https://www.last.fm/music/Ria+Amelia"">Read more on Last.fm</a>",1328,9829,"('Ratu Sikumbang', 'Boy Shandy', 'Elly Kasim', 'Duo Anggrek', 'Juan Reza')"
32,Sekhar Ghosh," <a href=""https://www.last.fm/music/Sekhar+Ghosh"">Read more on Last.fm</a>",101,888,"('Akshaya Mohanty', 'Pranab Kishore Patnaik', 'Nirmala Mishra', 'Tansen Singh', 'Babushaan Mohanty')"
33,Javiera,"Javiera (born May 28, 1977) is a Swedish pop singer. Her mother is from Chile, her father from Spain. She's taken twice part in Melodifestivalen (the Swedish preselection for the Eurovision Song Contest) - in 2000 she came 4th and in 2002 she came 6th with a song called ""No hay nada más"". <a href=""https://www.last.fm/music/Javiera"">Read more on Last.fm</a>",5625,41836,"('Javiera & Los Imposibles', 'Alex & Daniel', 'La Sociedad', 'Keko Yunge', 'Pablo Herrera')"
34,Džo Maračić Maki,"Džo Maračić - Maki (Kornić, Krk, 1951.) je hrvatski glazbenik. Pjevač je zabavne i pop glazbe. Također piše i sklada pjesme.

Sudjelovao je na Splitskom festivalu 1976. godine (Moja obala). <a href=""https://www.last.fm/music/+noredirect/D%C5%BEo+Mara%C4%8Di%C4%87+Maki"">Read more on Last.fm</a>",391,2444,"('Duško Lokin', 'Tomislav Ivčić', 'Milo Hrnić', 'Jasna Zlokic', 'Đani Maršan')"
35,Klaus & Servants," <a href=""https://www.last.fm/music/Klaus+&+Servants"">Read more on Last.fm</a>",1595,8490,"('To Jyder', 'Bjørn & Okay', 'Susanne Lana', 'Kim Schwartz', 'Johnny Reimar')"
36,Dueto Remembranzas," <a href=""https://www.last.fm/music/Dueto+Remembranzas"">Read more on Last.fm</a>",90,451,"('Garzón y Collazos', 'Grupo Caminata', 'Ricardo Fuentes', 'Victor Hugo Ayala', 'Silva Y Villalba')"
37,José Alberto Reis," <a href=""https://www.last.fm/music/+noredirect/Jos%C3%A9+Alberto+Reis"">Read more on Last.fm</a>",842,4705,"(""Eduardo Sant'Ana"", 'Marante', 'Rui Bandeira', 'Mickael Carreira', 'Rita Guerra')"
38,Jo Vally,"Jo Vally (Wolvertem, 12 oktober 1958) is een Vlaamse zanger die al vele jaren meedraait. Zijn echte naam is Valère M. C. Lauwers. Na het grote succes van de albums Jo Vally zingt Franse klassiekers en Jo Vally zingt zuiderse klassiekers werd in juni 2013 bekend dat er in oktober van dat jaar een album met countryklassiekers uit zou komen.

http://www.jo-vally.be/biografie
http://nl.wikipedia.org/wiki/Jo_Vally
http://musicbrainz.org/artist/b98f4737-76ab-42b0-822f-dd182b25c150 <a href=""https://www.last.fm/music/Jo+Vally"">Read more on Last.fm</a>",2850,20433,"('Will Tura', 'Willy Sommers', 'Luc Steeno', 'Paul Severs', 'Marva')"
39,HRVOJE HEGEDUSIC," <a href=""https://www.last.fm/music/HRVOJE+HEGEDUSIC"">Read more on Last.fm</a>",559,2593,"('Zlatni Dukati', 'Gabi Novak', 'Djavoli', 'Srebrna Krila', 'Mišo Kovač')"
40,Tamara Gverdtsiteli,"თამრიკო გვერდწითელი — ქართველი მომღერალი

დაიბადა 1962, 18 იანვარი, თბილისი

ჟანრი	რომანსები <a href=""https://www.last.fm/music/Tamara+Gverdtsiteli"">Read more on Last.fm</a>",855,4227,"('Vakhtang Kikabidze', 'Igor Sarukhanov', 'Valentina Ponomaryova', 'Yuri Gulyayev', 'Eugene Martynov')"
41,Yến Khoa," <a href=""https://www.last.fm/music/Y%E1%BA%BFn+Khoa"">Read more on Last.fm</a>",48,374,"('Yen Khoa', 'Quang Lê', 'Duy Mạnh', 'Mai Thiên Vân', 'Cẩm Ly')"
42,Thanh Thúy,"There are two artists that go by the name Thanh Thúy:

1. Thanh Thúy (born 1943) is a famous Vietnamese singer originally from Hue, Central Vietnam who began her professional singing career around the age of 16 in Saigon and would later become known as Tieng Hat Lieu Trai (The Sultry Singing Voice). 

How Thanh Thúy had become a professional singer was somewhat of an accident, as her career choice had come about unplanned.  Growing up in Hue in a family of 5 siblings <a href=""https://www.last.fm/music/Thanh+Th%C3%BAy"">Read more on Last.fm</a>",1254,9456,"('Thái Thanh', 'Ngoc Lan', 'Nguyên Khang', 'Quang Minh', 'Hoàng Oanh')"
43,Satinath Mukherjee," <a href=""https://www.last.fm/music/Satinath+Mukherjee"">Read more on Last.fm</a>",400,2344,"('Manabendra Mukherjee', 'Shyamal Mitra', 'Chinmoy Chatterjee', 'Dwijen Mukherjee', 'Indranil Sen')"
44,Abdullah Sattar Baloch," <a href=""https://www.last.fm/music/Abdullah+Sattar+Baloch"">Read more on Last.fm</a>",5,6,()
45,Jonah Jones,"Born in Louisville, Kentucky in 1909, trumpet player Jonah Jones turned professional at the age of 17. After working in many bands, he formed his own quartet, the Jonah Jones Quartet, in 1955. He made a string of successful albums with Capitol in the late fifties. After that he rarely recorded again, but continued playing until his death in 2000. <a href=""https://www.last.fm/music/Jonah+Jones"">Read more on Last.fm</a>",22131,84066,"('Gloria Wood', 'Sam Butera', 'John Buzon Trio', 'Dave Pell', 'Billy May & His Orchestra')"
46,Pavlína Filipovská," <a href=""https://www.last.fm/music/+noredirect/Pavl%C3%ADna+Filipovsk%C3%A1"">Read more on Last.fm</a>",1081,3917,"('Milan Chladil', 'Josef Zíma', 'Judita Čeřovská', 'Jiří Suchý', 'Yvonne Přenosilová')"
47,Speedmarket Avenue,"Speedmarket Avenue is a young band from Stockholm. 

The bandmembers:
Johan Angantyr
Sibille Attar
Thomas Holm
Jesper Klein 
Tom Wikström
Isak Klasson

SHORT ABOUT THE NEW RECORD: They named it Way Better Now, it's produced by Jari Haapalainen and relased by famous Elefant Records. Also on vinyl. 

Release dates so far:
April 23rd, Sweden
May 5th, UK & Spain
May 23rd, Germany
Later this spring, Ireland & France
Way Better Now (7"" single) is out two weeks before the album in each country. 

More info at speedmarketavenue.com. 
 <a href=""https://www.last.fm/music/Speedmarket+Avenue"">Read more on Last.fm</a>",17358,139411,"('Twig', 'The Electric Pop Group', 'Strawberry Fair', 'Stars in Coma', 'Hari and Aino')"
48,Irena Starošaitė,"1988-aisiais metais ""Trimitas"" solistė, 1988-ųjų vasarą dalyvavo Tarptautiniame dainų konkurse “Jalta ‘88” – diplomantė. Nuo 1988-ųjų pabaigos Lietuvos viešbučio 22 aukšto programos solistė kartu su grupe ""Panorama"". Su šia grupe Irena Starošaitė koncertavo įvairiose pasaulio šalyse: Lenkijoje, Vokietijoje, Bulgarijoje, Islandijoje, Arabų Emyratuose. 

1992-1997-aisiais metais - grupės ""Studija"" narė. 1998-aisiais pusę matų dirbo Japonijoje. <a href=""https://www.last.fm/music/+noredirect/Irena+Staro%C5%A1ait%C4%97"">Read more on Last.fm</a>",835,6305,"('Žilvinas Žvagulis', 'Vitalija Katunskytė', 'Džordana Butkutė', 'Dangė', 'Inga Valinskienė')"
49,Rafael Medina," <a href=""https://www.last.fm/music/Rafael+Medina"">Read more on Last.fm</a>",536,2813,"('Ana María González', 'Elsie Bayron', 'Isabel Palacios', 'Los Xey', 'Beatriz Bilbao')"
50,Umberto Bindi,"Umberto Bindi (12 May 1932, Bogliasco - 24 May 2002, Rome) was an Italian singer-songwriter. <a href=""https://www.last.fm/music/Umberto+Bindi"">Read more on Last.fm</a>",12385,55109,"('Gianni Meccia', 'The Rokes', 'Don Backy', 'Fausto Leali', 'Iva Zanicchi')"
51,Firoza Begum,"Feroza Begum, a legendary singer, not only popularised Nazrul Sangeet in the subcontinent but also exposed the depth, versatility and sophistication of this genre of music.

Firoza Begum is a renowned Bangladeshi singer who started her career in 1960s. She is one of the pioneer Nazrul Sangeet singers in Bangladesh who popularized the genre in the whole South Asia. Millions of people adhere her name with great honor.

So much so that it is impossible to talk about the evolution of Nazrul Sangeet without talking about this remarkable artiste. <a href=""https://www.last.fm/music/Firoza+Begum"">Read more on Last.fm</a>",365,2621,"('Ritu Guha', 'Shironamhin', 'Runa Laila', 'AYUB BACHCHU', 'Rezwana Choudhury Bannya')"
52,Александр Барыкин,"Aleksander Aleksandrovich Barykin (Byrykin) (Russian: Александр Александрович Барыкин (Бырыкин); February 18, 1952 — March 26, 2011) was a Soviet and Russian singer and songwriter.

Alexander Barykin was born on February 18, 1952, in Beryozovo (Khanty-Mansia). He was a young boy when his parents moved to Lybertsy, a suburb near Moscow. While still in school, Barykin sang and played guitar in an amateur band called Allegro. <a href=""https://www.last.fm/music/+noredirect/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80+%D0%91%D0%B0%D1%80%D1%8B%D0%BA%D0%B8%D0%BD"">Read more on Last.fm</a>",21289,180706,"('Владимир Кузьмин', 'Юрий Лоза', 'Алексей Глызин', 'Земляне', 'Электроклуб')"
53,Kalevi Korpi," <a href=""https://www.last.fm/music/Kalevi+Korpi"">Read more on Last.fm</a>",1258,5964,"('Veikko Tuomi', 'Irmeli Mäkelä', 'Eila Pienimäki', 'Vieno Kekkonen', 'Kauko Käyhkö')"
54,George Jones,"George Glenn Jones (September 12, 1931 – April 26, 2013) was an American musician, singer, and songwriter. He achieved international fame for his long list of hit records, including his best-known song ""He Stopped Loving Her Today"", as well as his distinctive voice and phrasing. For the last two decades of his life, Jones was frequently referred to as the greatest living country singer. Country music scholar Bill Malone writes, ""For the two or three minutes consumed by a song <a href=""https://www.last.fm/music/George+Jones"">Read more on Last.fm</a>",452259,5699373,"('Merle Haggard', 'Conway Twitty', 'Vern Gosdin', 'Charley Pride', 'George Jones & Tammy Wynette')"
55,Pasión Vega,"Pasión Vega lanzó su primer álbum en 2002. Después alcanzó el Disco de Oro con el disco Banderas de nadie (2003) y repitió Oro con Flaca de amor (2005) antes de publicar su CD+DVD en directo Pasión en el Maestranza (2005), grabado durante un concierto en Sevilla. Su cuarto álbum es La reina del Pay Pay (2006), con el que consiguió su tercer Disco de Oro en España, antes de editar el recopilatorio Pura Pasión (2007). Con estos álbumes, Pasión Vega ha ganado cuatro Premios de la Música y un Premio Amigo, entre otros galardones. <a href=""https://www.last.fm/music/+noredirect/Pasi%C3%B3n+Vega"">Read more on Last.fm</a>",24858,176142,"('Carlos Cano', 'Diana Navarro', 'Rocio Jurado', 'Falete', 'Concha Piquer')"
56,Massimo Ranieri,"Massimo Ranieri (name in art of Giovanni Calone), Italian is a pop singer, a film and a stage actor, as well as a show-business personality. He was born in Naples (at Santa Lucia) on May 3, 1951.

One of the most popular entertainers in Italy today, he came to the knowledge of the public by winning two editions of the Canzonissima song festival in 1970 and 1972 with ""L'Amore È Un Attimo"" and ""Chi Sarà"", and by representing Italy in the Eurovision song contest in 1971 in which he ended up 5th with ""L'Amore È Un Attimo"" <a href=""https://www.last.fm/music/Massimo+Ranieri"">Read more on Last.fm</a>",60123,443850,"('Modà', 'Mia Martini', 'Renato Zero', 'Lucio Battisti', 'Rino Gaetano')"
57,Greta Y Los Garbo," <a href=""https://www.last.fm/music/Greta+Y+Los+Garbo"">Read more on Last.fm</a>",5051,29207,"('Andermay', 'Merche', 'Efecto Mariposa', 'Los Peces', 'Belén Arjona')"
58,Bay City Rollers,"The Bay City Rollers were a Scottish pop band of the 1970s. Their youthful, clean-cut image, distinct styling featuring tartan-trimmed outfits, and cheery, sing-along pop hits helped the group become among the most popular musical acts of their time. For a relatively brief but fervent period (nicknamed ""Rollermania""), they were a worldwide sensation.

Bassist Alan Longmuir, his younger brother Derek Longmuir, a drummer, along with school mate, lead singer Gordon ""Nobby"" Clark founded the group in Edinburgh, Scotland in 1967, as The Saxons. <a href=""https://www.last.fm/music/Bay+City+Rollers"">Read more on Last.fm</a>",253419,1696196,"('Mud', 'Middle Of The Road', 'The Rubettes', 'Racey', 'The Osmonds')"
59,Lovely Nirman," <a href=""https://www.last.fm/music/Lovely+Nirman"">Read more on Last.fm</a>",101,608,"('Babbu Maan', 'Harjit Harman', 'Kulbir Jhinjer', 'Labh Heera', 'Surjit Bhullar')"
60,Rinus Okken," <a href=""https://www.last.fm/music/Rinus+Okken"">Read more on Last.fm</a>",529,3423,"('Ellen and Moodmakers', 'Anita van de Rapsodies', 'Les Amis', 'Gerard Schoonebeek', ""de rodeo's"")"
61,Srikanta Acharya,"Srikanta Acharya was born at Kolkata and was trained at 'Dakshini ' one of the premier institutions for music at Kolkata. He is one of the best male singer of Rabindrasangeet of his time.  <a href=""https://www.last.fm/music/Srikanta+Acharya"">Read more on Last.fm</a>",2166,23041,"('Indranil Sen', 'Shyamal Mitra', 'Srabani Sen', 'Kabir Suman', 'Sandhya Mukherjee')"
62,Aleksandr Marshal,"""Gorky Park"" singer <a href=""https://www.last.fm/music/Aleksandr+Marshal"">Read more on Last.fm</a>",5597,39721,"('Группа ""Солдаты о войне""', 'Vadim Kazachenko', 'Группа ""Антология военной песни""', 'группа ""Ребята с нашего двора""', 'Nikolay Kopylov')"
63,Mary Merche," <a href=""https://www.last.fm/music/Mary+Merche"">Read more on Last.fm</a>",127,556,"('Andrés Moltó', 'Elsie Bayron', 'Orquesta Gran Casino', 'Orquesta Casablanca', 'Orquesta Tejada')"
64,Eino Grön,"Eino Grön is a Finnish Schlager artist. He started his career in 1957 as a singer for local groups in Pori, Finland. His tango recordings such as ""Sä kuulut päivään jokaiseen"" and ""Seinillä on korvat"" have gained him great popularity and stature. <a href=""https://www.last.fm/music/+noredirect/Eino+Gr%C3%B6n"">Read more on Last.fm</a>",13496,91211,"('Reijo Taipale', 'Taisto Tammi', 'Pasi Kaunisto', 'Veikko Tuomi', 'Henry Theel')"
65,OS PANTERAS," <a href=""https://www.last.fm/music/OS+PANTERAS"">Read more on Last.fm</a>",4524,19511,"('Kim Marques', 'Nelsinho Rodrigues', 'Alberto Moreno', 'Bruno & Trio', 'Borba de Paula')"
66,Olivier Hecho," <a href=""https://www.last.fm/music/Olivier+Hecho"">Read more on Last.fm</a>",755,5595,"('Francisco Tárrega, Pepe Romero', 'Celedonio Romero, Pepe Romero', 'Narciso Yepes, Pepe Romero', 'Federico Moreno Torroba, Pepe Romero', 'Isaac Albéniz, Pepe Romero')"
67,Swapnil Bandodkar," <a href=""https://www.last.fm/music/Swapnil+Bandodkar"">Read more on Last.fm</a>",3626,38469,"('Vaishali Samant', 'Adarsh Shinde', 'Avadhoot Gupte', 'Anand Shinde', 'Ajay')"
68,Nusrat Fateh Ali Khan,"Nusrat Fateh Ali Khan (Punjabi: نصرت فتح علی خان; October 1948 – 16 August 1997), an internationally acclaimed Pakistani musician, was primarily a singer of Qawwali, the devotional music of the Sufis. Considered one of the greatest voices ever recorded, he possessed an extraordinary range of vocal abilities and could perform at a high level of intensity for several hours. Extending the 600-year old Qawwali tradition of his family, Khan is widely credited with introducing Qawwali music to international audiences. <a href=""https://www.last.fm/music/Nusrat+Fateh+Ali+Khan"">Read more on Last.fm</a>",233446,2461322,"('Rahat Fateh Ali Khan', 'Nusrat Fateh Ali Khan & Michael Brook', 'Abida Parveen', 'Sajjad Ali', 'Ali Zafar')"
69,Thiên Trang," <a href=""https://www.last.fm/music/+noredirect/Thi%C3%AAn+Trang"">Read more on Last.fm</a>",196,1057,"('Hương Lan', 'Duy Khánh', 'Giao Linh', 'Thanh Tuyền', 'Chế Linh')"
70,Anika Horvat," <a href=""https://www.last.fm/music/Anika+Horvat"">Read more on Last.fm</a>",614,4440,"('Anja Rupel', 'Leeloojamais', 'Neisha', 'Alya', 'Alenka Godec')"
71,Sigurður Ólafsson," <a href=""https://www.last.fm/music/+noredirect/Sigur%C3%B0ur+%C3%93lafsson"">Read more on Last.fm</a>",232,1381,"('Alfreð Clausen', 'Erling Ágústsson', 'Sigrún Jónsdóttir', 'Haukur Morthens', 'Ragnar Bjarnason')"
